OBJECTID,GIS_ID,FEATURECODE,DESCRIPTION,CAPTUREYEAR,SHAPEAREA,SHAPELEN
10,410642,1480,Sidewalk,1999-03-31T00:00:00.000Z,289.90937,391.997007383193
11,412222,1480,Sidewalk,1999-03-31T00:00:00.000Z,28.4553085,44.2807128503595
12,410639,1480,Sidewalk,1999-03-31T00:00:00.000Z,34.043646,37.0240507238168
13,412219,1480,Sidewalk,1999-03-31T00:00:00.000Z,85.4239825,141.781922461921
14,410979,1480,Sidewalk,2008-05-30T00:00:00.000Z,157.2594955,171.754366068474
15,412818,1480,Sidewalk,1999-03-31T00:00:00.000Z,65.7808145,70.5681775752279
16,412221,1480,Sidewalk,1999-03-31T00:00:00.000Z,134.621655,214.220767754486
17,412220,1480,Sidewalk,1999-03-31T00:00:00.000Z,0.114807,3.51975130326782
18,413244,1480,Sidewalk,1999-03-31T00:00:00.000Z,78.3081915,89.5440184546013
25,412217,1480,Sidewalk,1999-03-31T00:00:00.000Z,93.396324,159.582892834448
26,410980,1480,Sidewalk,1999-03-31T00:00:00.000Z,146.879474,165.963945931312
27,412886,1480,Sidewalk,2008-05-30T00:00:00.000Z,364.2431855,410.984712746844
28,410644,1480,Sidewalk,2005-04-04T00:00:00.000Z,182.3670615,205.789908595653
19,412213,1480,Sidewalk,1999-03-31T00:00:00.000Z,301.44926,464.816036092422
20,412212,1480,Sidewalk,1999-03-31T00:00:00.000Z,131.8293265,219.353881531847
21,410641,1480,Sidewalk,1999-03-31T00:00:00.000Z,61.871144,63.2432161732823
22,410640,1480,Sidewalk,1999-03-31T00:00:00.000Z,0.503955,5.78876277010787
23,412218,1480,Sidewalk,1999-03-31T00:00:00.000Z,50.453714,45.3199479902988
24,410638,1480,Sidewalk,1999-03-31T00:00:00.000Z,150.25484,161.524118731592
33,412197,1480,Sidewalk,1999-03-31T00:00:00.000Z,37.1861345,42.9178552343228
34,410522,1480,Sidewalk,2005-04-04T00:00:00.000Z,548.169967,671.970735239274
